T,n,hit rate,serial reads,serial writes,finelock reads,finelock writes,optimistic reads,optimistic writes
1,1,0.5,407062,401314,383245,375595,382878,375815
1,1,0.75,406859,398761,382551,373915,382719,373640
1,1,0.9,406243,400289,382023,374545,381887,374613
1,1,0.99,406499,400410,382102,374378,381707,374462
1,2,0.5,407013,401142,748776,723563,751891,728486
1,2,0.75,406484,398868,746885,724710,749621,730367
1,2,0.9,406133,400430,747150,719558,748500,723757
1,2,0.99,406286,400373,744978,722850,747818,725639
1,3,0.5,406966,401519,1115639,1051626,1121771,1061850
1,3,0.75,406919,398194,1113885,1060253,1114850,1066947
1,3,0.9,406363,400215,1094556,1049879,1112748,1054872
1,3,0.99,406381,400214,1108921,1044695,1118288,1051734
1,7,0.5,406963,401313,2500334,2236016,2528610,2283696
1,7,0.75,406759,398777,2488809,2322600,2519190,2337420
1,7,0.9,406236,400126,2468423,2281849,2491761,2293639
1,7,0.99,406299,400025,2473069,2259326,2509198,2315371
1,13,0.5,406212,400856,3577212,2734128,3350531,2727679
1,13,0.75,406673,398232,3514436,2780706,3633053,2729421
1,13,0.9,405807,399838,3171083,2573797,3713464,2707773
1,13,0.99,406352,400104,3703390,2549828,3495315,2658545
1,27,0.5,406671,401064,2364535,1664233,2077540,1767064
1,27,0.75,406864,398411,2390480,1836124,2436527,1773424
1,27,0.9,406323,400021,2437438,1686543,2165080,1771332
1,27,0.99,406439,400396,2366687,1737880,2208061,1697341
2,1,0.5,406855,401337,383022,376263,383238,375220
2,1,0.75,406790,398943,383747,373866,382688,373933
2,1,0.9,406331,399644,382199,374752,381851,374587
2,1,0.99,406412,400459,382571,374881,382954,374623
2,2,0.5,407018,401090,747372,726459,751484,729320
2,2,0.75,406802,398561,746231,724322,751894,727936
2,2,0.9,406520,399966,744196,717180,750078,726411
2,2,0.99,406524,400296,743915,717025,749351,721076
2,3,0.5,406790,401174,1114751,1052606,1120395,1060215
2,3,0.75,407090,398792,1109997,1060250,1113750,1066094
2,3,0.9,406223,400267,1112749,1048022,1112749,1053903
2,3,0.99,406534,400523,1109660,1045652,1117308,1052782
2,7,0.5,406417,401330,2501769,2232432,2525996,2254111
2,7,0.75,406711,398479,2501655,2349671,2535150,2352069
2,7,0.9,406377,400070,2487129,2270157,2500748,2283421
2,7,0.99,406344,400508,2459964,2246167,2504369,2284620
2,13,0.5,407146,400800,3616487,2647557,3571839,2623232
2,13,0.75,406836,398801,3328929,2706656,3344703,2739671
2,13,0.9,405970,399593,3771648,2550527,3604946,2767548
2,13,0.99,405725,399970,3662470,2641052,3339108,2833008
2,27,0.5,406763,401376,2393624,1594824,2635791,1767150
2,27,0.75,406856,398427,2525239,1711768,2455579,1662958
2,27,0.9,406375,399826,2653144,1674924,2343733,1756620
2,27,0.99,406345,400317,2435640,1668312,2385843,1830984
3,1,0.5,406998,400798,383840,375996,384253,375443
3,1,0.75,407061,399072,383096,373590,382597,373968
3,1,0.9,405859,400264,381899,374773,382126,375494
3,1,0.99,406471,400382,381883,374721,382043,374429
3,2,0.5,407162,401609,746530,724068,750436,727743
3,2,0.75,406777,398587,747865,727535,751696,728285
3,2,0.9,406107,400006,745220,723381,748544,721123
3,2,0.99,406496,400414,744124,720278,748601,722005
3,3,0.5,406786,401209,1114200,1049071,1122711,1060240
3,3,0.75,406854,398815,1107911,1064204,1114679,1068933
3,3,0.9,406375,400365,1106212,1047653,1112747,1055024
3,3,0.99,406334,400302,1106787,1046686,1117660,1052850
3,7,0.5,406894,401120,2486611,2281324,2531246,2267551
3,7,0.75,406396,398981,2485280,2309571,2526118,2376607
3,7,0.9,406392,400141,2472222,2265166,2513584,2301835
3,7,0.99,406280,400236,2474066,2271864,2509174,2276255
3,13,0.5,406995,400194,3608790,2659096,3744249,2749462
3,13,0.75,406837,398484,3566848,2648648,3417488,2733867
3,13,0.9,406276,399799,3543584,2346061,3030135,2649428
3,13,0.99,406326,399756,3670779,2707046,3657067,2669776
3,27,0.5,407003,401001,2429224,1711064,2287122,1780440
3,27,0.75,406964,398597,2451943,1878629,2580393,1771313
3,27,0.9,405733,400195,2691692,1599477,2269655,1731672
3,27,0.99,406526,400008,2280471,1773531,2381610,1697432
4,1,0.5,406991,401115,383114,375324,382267,375371
4,1,0.75,406821,398779,382745,374161,382244,373937
4,1,0.9,406371,399836,382038,374857,382327,374463
4,1,0.99,406538,400325,382237,374635,381880,374396
4,2,0.5,407238,401170,745301,727410,751705,725093
4,2,0.75,406746,398465,749118,725958,750411,727534
4,2,0.9,406319,400161,745423,719654,748933,721433
4,2,0.99,406340,400026,746930,720476,747042,721850
4,3,0.5,406876,401131,1110636,1055570,1114928,1057275
4,3,0.75,406780,398728,1106608,1065780,1118913,1069552
4,3,0.9,406317,400192,1109344,1050101,1112747,1054571
4,3,0.99,406572,400277,1105840,1024886,1120668,1054788
4,7,0.5,407179,401249,2494643,2224414,2521283,2317871
4,7,0.75,406761,399069,2498387,2275598,2529431,2359772
4,7,0.9,406174,400258,2468715,2260026,2516232,2297679
4,7,0.99,406391,400280,2471781,2265973,2521031,2267776
4,13,0.5,406446,400690,3333219,2636542,3605372,2669064
4,13,0.75,405698,398501,3464094,2869575,3436747,2775592
4,13,0.9,406130,399390,3556267,2735264,3169492,2674398
4,13,0.99,406133,399882,3803167,2681494,3182376,2720662
4,27,0.5,406744,401183,2225919,1775014,2407761,1794007
4,27,0.75,406912,398370,2432400,1672778,2318916,1770203
4,27,0.9,406394,399812,2273833,1690520,2430352,1771339
4,27,0.99,406445,400015,2575269,1651190,2187913,1724016
5,1,0.5,406838,401561,383723,375289,383997,375464
5,1,0.75,406910,398477,382514,373992,382804,373547
5,1,0.9,406396,400159,382795,375274,382091,375132
5,1,0.99,406630,400179,382143,375422,381832,375335
5,2,0.5,407194,401297,749138,724599,750846,728059
5,2,0.75,406917,398666,747362,728348,751570,728594
5,2,0.9,406342,400218,744262,722787,749239,720985
5,2,0.99,406280,400281,746858,722241,748299,722761
5,3,0.5,407138,401364,1114975,1054443,1121997,1058628
5,3,0.75,406619,398773,1106376,1066816,1117466,1069361
5,3,0.9,406257,400159,1106767,1050768,1112746,1057068
5,3,0.99,406403,400610,1105409,1048145,1114202,1050266
5,7,0.5,407225,401544,2502933,2177926,2528255,2293303
5,7,0.75,406713,398421,2494021,2343261,2514924,2355438
5,7,0.9,406221,399915,2483991,2269665,2523687,2313082
5,7,0.99,406656,400217,2476102,2252050,2484058,2317670
5,13,0.5,406964,401090,3555480,2598334,3155228,2604363
5,13,0.75,406762,398296,3693915,2723721,3525206,2718580
5,13,0.9,406362,399854,3835986,2689370,3394952,2855879
5,13,0.99,406209,399968,3699064,2520146,3743159,2740123
5,27,0.5,406814,400274,2065624,1752414,2118826,1776217
5,27,0.75,406976,398368,2695682,1830040,2698221,1703166
5,27,0.9,406400,400158,2448559,1738452,2462018,1751704
5,27,0.99,406288,400061,2358470,1766552,2295963,1566616
